id_plot,latitude,longitude,altitude,aspect,MAT,MAP,slope,Forest_types,age,origin,sucstage,area,Root_C_stock,Tree_C_stock,Herb_layer_C_stock,Litter_layer_C_stock,Shrub_layer_C_stock,Total_aboveground_C_stock,Total_soil_C_stock,Total_belowground_C_stock,Total_forest_C_stock,AM_tree_C_stock,EcM_tree_C_stock,species_richness3cm,species_richness10cm,Hii_shannon_diversity3cm,all_tree_number_per_600_3cm,tree_number_area_per_600m2_10cm
GZ96,25.63111111,104.6277222,1845,NW,14.4,1279,18,Coniferous_forest,18,natural,early,600,4.663533462,25.73406373,0.151725,0.127375,0.18355,21.58935526,43.82185238,48.48538584,70.0747411,NA,25.73406373,1,1,1,107,56
ZJ56,29.27847778,121.0577528,471,NE,14.8,1608,30,Broadleaved_forest,87,natural,late,600,20.14879232,105.6171668,0.06665,0.160145249,0.252470858,86.03996615,43.92286459,64.07165691,150.1116231,38.40977053,66.87595975,21,11,12.119,79,32
ZJ1,29.16398611,118.1213167,327,NW,16.6,1785,33,Coniferous_forest,78,planted,middle,600,27.89400627,79.66453,0.0785,0.502933835,0.07484504,51.99871381,44.0289212,71.92292748,123.9216413,45.43042328,33.34417741,34,7,2.4,216,76
ZJ2,29.16398611,118.1213167,327,NW,16.6,1785,37,Coniferous_forest,78,planted,middle,600,21.51908629,114.1196514,0.08345,0.471728239,0.143078625,92.97017236,44.05420815,65.57329444,158.5434668,42.41726578,69.09562725,19,6,4.054,180,102
SC19,30.564225,103.2489806,1056,NW,15.1,1272,23,Coniferous_forest,NA,planted,middle,600,8.617122201,35.12030359,0.150250399,0.226981049,0.066728489,26.78688877,44.13008916,52.74721136,79.53410012,28.76957487,6.350728723,15,10,3.591,105,22
SC37,28.83879722,106.1479667,807,NW,16.6,1102,30,Coniferous_forest,16,planted,middle,600,5.655546493,30.98458953,0.064328401,0.389626296,0.060236462,25.51384436,44.1343943,49.78994079,75.30378515,30.98458953,NA,8,2,3.121,128,38
ZJ7,29.19181944,118.1385583,259,SE,16.4,1787,30,Coniferous_forest,30,planted,late,600,28.59138263,63.41027835,0.0454,0.261666667,0.0671875,34.99867072,44.39177468,72.98315731,107.981828,60.20078994,2.760071136,32,3,2.275,242,93
ZJ73,27.94095278,120.5498306,29,SW,18.6,1691,30,Mixed_forest,25,natural,middle,600,6.179822033,59.58230305,0.035645,0.316679328,NA,53.43812602,44.91165812,51.09148015,104.5296062,42.59909538,16.98320767,9,3,4.048,176,67
ZJ158,29.20905,119.6242167,595,SW,14.2,1667,30,Broadleaved_forest,30,natural,middle,600,9.680916069,103.1771995,0.12856,0.324911509,0.256195322,94.13723407,44.96153116,54.64244723,148.7796813,102.157054,1.020145498,7,4,3.076,35,25
ZJ3,29.16398611,118.1213167,327,NW,16.6,1785,39,Coniferous_forest,20,planted,middle,600,18.75991129,78.63401105,NA,0.32274085,0.273344875,60.42078951,44.97564329,63.73555458,124.1563441,58.46930565,20.16470539,16,7,1.64,159,100
AH5,31.09301667,116.1593333,1168,SW,9.8,1719,15,Broadleaved_forest,67,natural,middle,600,17.00186022,64.3906407,0.030125142,0.150460378,0.397755136,48.21441589,44.98850501,61.99036523,110.2047811,16.9615035,13.00486491,25,18,12.901,58,33
GZ79,28.11903056,107.0538139,1390,NW,14.8,1139,12,Broadleaved_forest,60,natural,middle,600,17.85998267,138.4896451,0.3899,0.300416667,0.08715,121.1938624,45.1993735,63.05935617,184.2532186,NA,138.4896451,2,1,1.044,137,80
ZJ100,28.50048056,119.9207861,668,SW,15.2,1686,30,Broadleaved_forest,99,natural,late,600,8.693779316,81.26176595,0.075165,0.399689069,0.192344375,73.02784038,45.43918345,54.13296277,127.1608031,78.20636838,3.055397556,4,3,1.384,206,75
AH44,30.96409722,118.0298667,92,SW,16.2,1269,41,Mixed_forest,58,natural,middle,600,9.549178597,48.74293803,0.0942185,0.191498834,NA,39.28797793,45.61121147,55.16039006,94.44836799,4.775619765,43.96731826,15,8,7.618,58,43
GZ99,25.6005,104.6253611,1808,NW,14.3,1276,18,Coniferous_forest,19,natural,early,600,2.956592421,16.85117573,0.243106667,0.149316667,0.07305,14.28378997,45.77782305,48.73441547,63.01820544,0.28828743,16.5628883,3,3,1.829,71,29
ZJ160,29.20904722,119.6257389,582,NW,13.6,1710,30,Broadleaved_forest,67,natural,middle,600,9.699780359,112.36168,NA,0.336776559,0.645212563,103.9523248,45.86653026,55.56631061,159.5186354,91.85743608,20.50424389,11,6,6.726,51,24
ZJ138,27.62449167,118.9106139,359,SW,18,1821,35,Mixed_forest,78,natural,early,600,11.23988471,90.49921795,NA,0.446104476,NA,79.25933324,46.23585957,57.47574428,136.7350775,10.72140932,78.05340452,24,7,7.084,432,72
AH17,31.38766667,115.0000083,824,SW,15.8,1228,32,Mixed_forest,40,natural,middle,600,3.48866208,19.57905075,0.007922078,0.223727119,0.077256891,16.25282452,46.64415491,50.13281699,66.38564151,4.179938801,14.52540643,14,5,3.274,36,22
SC82,31.64393611,106.8979833,540,SE,16.9,1123,51,Mixed_forest,31,natural,middle,600,11.3414475,37.75749409,0.039966562,0.244332397,0.227730101,26.91147335,47.03868651,58.38013401,85.29160737,32.9095531,4.84794099,5,5,2.228,28,20
ZJ69,30.27265278,119.3443056,188,NW,15.9,1399,25,Broadleaved_forest,43,natural,early,600,6.388059688,47.8158495,NA,0.366696379,0.107613125,41.64301606,47.38261572,53.77067541,95.41369147,14.98514348,32.68772391,21,5,6.373,419,32
SC96,31.65740556,104.4941694,694,SW,16,928,21,Mixed_forest,34,planted,early,600,7.275357852,37.40263015,0.172953943,0.165100894,0.007592917,30.31541207,47.70288941,54.97824726,85.29365934,16.04861623,21.35401392,12,7,5.829,70,27
ZJ92,28.26525,120.2156111,56,NE,18.6,1547,20,Mixed_forest,43,natural,middle,600,6.861774252,59.8346622,NA,0.292772561,0.0324175,53.03772295,48.32033922,55.18211347,108.2198364,12.61856986,47.21609237,11,7,6.507,74,51
AH6,31.09303333,116.1618833,1226,SW,9.8,1719,25,Broadleaved_forest,40,natural,middle,600,9.527576342,38.82898285,0.049883016,0.102115255,0.129509156,29.61030784,48.50978218,58.03735853,87.64766636,4.695377721,29.60269376,21,10,10.895,74,30
AH45,30.89303056,117.7948139,205,SW,15.8,1321,42,Mixed_forest,58,natural,middle,600,13.56961431,75.11515615,0.041887334,0.2359865,NA,61.58742917,48.92825174,62.49786605,124.0852952,3.637624336,71.47753185,14,10,4.621,49,45
ZJ93,28.26554167,120.2152444,56,NE,18.6,1547,20,Mixed_forest,41,natural,middle,600,5.571098551,54.30417395,NA,0.412053346,0.578144094,49.88936359,49.01320485,54.5843034,104.473667,14.12970073,40.17447323,9,7,5.288,86,48
CQ14,28.84838889,108.762,1175,SE,15.3,1341,20,Coniferous_forest,20,natural,early,600,8.179252239,86.3574738,0.453635,0.05385,0.11983125,78.87151906,49.04983931,57.22909155,136.1006106,86.3574738,NA,1,1,1,59,50
ZJ173,29.46628889,119.2765111,142,SE,17.3,1480,30,Mixed_forest,65,natural,middle,600,5.129119895,45.66676815,NA,0.520954831,0.2779985,41.09364525,49.11358292,54.24270281,95.33634806,18.87472995,26.79203819,20,9,12.943,84,36
SC83,27.03051944,101.3826972,1400,NW,19.5,909,21,Broadleaved_forest,25,natural,middle,600,4.750354187,25.48427745,0.038597743,0.165920694,0.218227681,21.20897636,49.28314105,54.03349524,75.2424716,1.294992079,24.18928537,10,7,4.105,77,31
SC94,30.256025,103.0952417,1360,SE,14,1233,32,Broadleaved_forest,47,natural,middle,600,9.408381536,54.61569995,0.011417052,0.393495622,0.346760477,45.91225642,49.37222436,58.7806059,104.6928623,54.1293271,0.486372859,22,14,8.527,118,29
ZJ192,29.47355556,119.2365111,88,SE,16.7,1529,40,Broadleaved_forest,46,natural,middle,600,6.609563674,58.42385825,NA,0.219257222,0.1258085,52.06591158,49.56621893,56.17578261,108.2416942,0.212020491,58.21183775,5,3,2.768,55,49
ZJ184,29.46966111,119.271875,69,NE,17.3,1482,20,Mixed_forest,67,natural,early,600,6.544569105,73.50289295,NA,0.203558192,NA,66.95832385,49.65812708,56.20269619,123.16102,15.99836241,57.50453057,13,6,5.287,92,55
SC274,29.67471944,102.9675222,1731,NW,13,1131,64,Broadleaved_forest,108,natural,middle,600,17.67077825,105.5989941,0.053328358,0.370455258,0.577482148,89.13650846,49.99015739,67.66093564,156.7974441,33.87009349,70.82992565,14,14,11.491,71,41
ZJ101,28.50094722,119.9214778,668,SW,15.2,1686,30,Broadleaved_forest,30,natural,late,600,6.21659621,61.27914545,NA,0.237747745,0.0187375,55.10002424,50.0672956,56.28389181,111.383916,51.35775442,9.921391017,6,5,1.654,109,64
ZJ174,29.466725,119.2758861,142,NW,17.3,1480,30,Mixed_forest,20,natural,middle,600,6.666485026,61.1538365,NA,0.740479205,0.173011188,54.83337385,50.31794563,56.98443066,111.8178045,9.215996075,51.93784041,12,7,6.643,133,71
ZJ178,29.31390278,119.2594222,138,NE,17.1,1521,30,Broadleaved_forest,40,natural,middle,600,6.154413098,54.1424671,NA,0.495354457,0.079111084,48.14627617,50.31981802,56.47423112,104.6205073,28.68924057,25.45322652,10,8,5.212,40,34
AH43,30.95446389,118.0344972,364,SW,15.5,1323,39,Mixed_forest,58,natural,middle,600,7.908144752,54.3402965,0.036722334,0.169721834,NA,46.46887408,51.07179191,58.97993667,105.4488107,2.726505093,51.5628116,9,5,2.602,50,45
SC230,30.87666667,100.8850111,3587,SE,5.5,673,28,Broadleaved_forest,114,natural,middle,600,20.6706907,202.3174911,0.014877721,0.474199081,0.023030147,181.7077384,51.37171323,72.04240393,253.7501423,NA,202.3174911,2,2,1.108,95,84
AH25,30.263125,117.4348944,54,NE,16.8,1414,28,Broadleaved_forest,87,natural,late,600,49.39905304,124.6043819,0.069749,0.3845685,0.079337459,75.43375272,51.54508433,100.9441374,176.3778901,9.599230477,115.0051514,17,11,7.621,55,37
ZJ172,29.46544444,119.2762833,142,NW,17.3,1480,30,Mixed_forest,20,natural,middle,600,7.950667848,70.0839999,NA,0.614017603,NA,62.13333205,51.8143258,59.76499365,121.8983257,5.783159559,64.30084032,11,5,4.571,166,78
SC5,32.15966111,104.4055278,1675,NE,10.8,844,19,Coniferous_forest,NA,planted,middle,600,12.72691507,80.07296165,0.0488425,0.396958334,0.029728036,67.45434515,51.84270524,64.5696203,132.0239655,77.9211797,2.151781958,7,4,2.385,85,66
SC87,30.80339722,103.2593667,1502,SE,12.9,1068,32,Broadleaved_forest,56,natural,early,600,10.00133312,56.924835,0.03467,0.33223,0.08692757,47.13202702,52.02034591,62.02167904,109.1537061,35.33740925,21.58742576,18,10,4.17,111,49
SC18,30.99607222,103.1581861,2456,NW,9.1,937,31,Broadleaved_forest,78,natural,late,600,13.85050582,110.4259069,0.023274301,0.356195897,0.420690093,97.44005556,52.02293302,65.87343884,163.3134944,70.7339,14.78529106,9,7,3.337,70,32
ZJ182,29.3136,119.2570167,153,NE,17,1522,10,Broadleaved_forest,40,natural,middle,600,12.0686036,92.69825875,0.09266,0.233050537,0.08960075,80.90151665,52.24021093,64.30881453,145.2103312,43.69434343,49.00391532,6,6,4.176,51,50
AH27,30.08730556,117.3546833,291,NE,16.2,1521,37,Broadleaved_forest,100,natural,late,600,66.52736468,143.3512345,0.045127834,0.4118835,0.103053,77.0751036,52.39848512,118.9258498,196.0009534,6.839607271,136.5116272,17,7,7.211,64,21
ZJ91,28.26503056,120.2162389,56,NE,18.6,1547,20,Mixed_forest,36,natural,middle,600,4.079893298,36.19327824,0.111875,0.315451346,NA,32.22525994,52.60115664,56.68104993,88.90630988,9.711723978,26.48155426,9,7,4.573,85,45
AH28,29.61371667,117.5404944,435,SE,16.1,1737,29,Broadleaved_forest,75,natural,late,600,99.061128,210.1289996,0.088706334,0.424502834,0.166374209,111.4893264,52.60384472,151.6649727,263.1542991,8.994361205,201.1346384,13,6,3.326,52,39
CQ13,28.86658333,108.74925,1180,SE,13.6,1395,20,Coniferous_forest,21,natural,early,600,6.679790765,68.61215185,0.399825,0.07578,0.25486875,62.84192358,53.36570096,60.04549173,122.8874153,68.61215185,NA,1,1,1,44,41
GZ101,28.34119444,107.9905556,1206,NE,13.3,1273,8,Broadleaved_forest,20,natural,early,600,6.336476875,55.81095935,0.061816667,0.0202,0.086796667,49.70989247,53.45177689,59.78825377,109.4981462,NA,55.81095935,1,1,1,137,28
ZJ162,29.20730278,119.6238556,582,NW,15.5,1567,30,Broadleaved_forest,32,natural,middle,600,13.92174903,167.7112187,0.07787,0.59291064,0.075615572,154.0185708,53.69910107,67.6208501,221.6394209,143.8882731,23.82294558,12,6,5.909,70,30
GZ78,28.15114722,107.0330806,1440,SW,13.7,1179,15,Broadleaved_forest,60,natural,middle,600,20.92747613,159.4042045,0.2232,0.034883334,0.032733334,138.765395,53.70700002,74.63447615,213.3998711,0.257659741,159.1465447,5,4,1.256,142,96
AH37,30.66704722,118.5707556,130,SW,15,1406,26,Mixed_forest,40,natural,middle,600,13.26737046,61.588361,0.045682667,0.167174834,0.097025584,48.56072437,53.85886564,67.1262361,115.6869605,18.0429085,43.5454525,9,8,3.132,77,73
AH23,30.345275,117.5238639,368,SE,14.7,1575,26,Broadleaved_forest,55,natural,middle,600,48.42099583,126.4750952,0.052338334,0.447041167,0.220861334,78.54816032,53.88979187,102.3107877,180.858948,9.99249675,116.4825984,6,6,3.412,72,55
AH15,31.25558333,115.0000083,1040,SW,16.2,1226,12,Broadleaved_forest,55,natural,middle,600,12.83946781,50.680236,0.015740126,0.138121053,0.065142885,37.98679409,53.95260352,66.79207133,104.7788654,20.84415692,29.77265302,20,14,8.664,53,42
ZJ57,29.27847778,121.0577528,471,SW,14.8,1608,30,Broadleaved_forest,56,natural,late,600,11.64154129,59.08527785,NA,0.129029167,0.148125311,47.73998718,54.55197673,66.19351802,113.9335052,24.67025365,34.3096369,25,14,9.022,75,37
GZ94,25.61591667,104.6155833,1762,SW,14.4,1270,10,Coniferous_forest,29,natural,middle,600,8.852554418,49.14317814,0.134133334,0.04545,0.1136775,40.65211205,54.64373773,63.49629214,104.1484042,NA,49.14317814,1,1,1,86,62
